student_id,student_firstName,student_lastName,student_email,student_age
1,Mohamed,Kemmous,mohamed.kemmous@gmail.com,22
2,Achraf,Naciri,achraf.naciri@gmail.com,20
3,Anwar,Berrada,anwar.berrada@gmail.com,33
4,Manal,Alaoui,manal.alaoui@gmail.com,19
5,Amal,Maamou,amal.maamou@gmail.com,25
6,Mohamed,Kemmous,mohamed.kemmous@gmail.com,23
7,Achraf,Naciri,achraf.naciri@gmail.com,20
8,Anwar,Berrada,anwar.berrada@gmail.com,32
9,Manal,Alaoui,manal.alaoui@gmail.com,19
11,Amal,Maamou,amal.maamou@gmail.com,14
12,Mohamed,Kemmous,mohamed.kemmous@gmail.com,23
13,Achraf,Naciri,achraf.naciri@gmail.com,20
14,Anwar,Berrada,anwar.berrada@gmail.com,12
15,Manal,Alaoui,manal.alaoui@gmail.com,19
